date,AGG,ANGL,BND,BNDX,BWX,CMF,CORP,CWB,EMB,EMLC,FALN,HYG,HYLB,IAGG,ICVT,IGLB,IGOV,IUSB,JNK,LQD,MBB,MUB,PCY,PFF,PFFD,SCHH,SCHQ,SCHZ,SCYB,SPAB,SPBO,SPHY,SPLB,SPMB,SPTL,TFI,TLT,USHY,USIG,USRT,VCLT,VGLT,VMBS,VTC,VTEB,VTEC,VWOB
2026-07-21,97.74,28.99,72.52,47.83,21.46,57.0,95.45,103.69,95.38,25.37,27.04,79.65,36.35,49.78,116.72,48.49,40.58,45.61,95.9,106.85,93.41,106.17,21.16,30.32,18.52,24.53,30.4,22.85,26.05,25.21,28.58,23.32,21.67,22.04,25.48,45.23,83.66,36.86,50.5,68.79,72.8,53.59,46.28,75.62,49.95,99.39,66.3
2026-07-22,97.58,28.94,72.4,47.8,21.46,56.81,95.27,104.0,95.09,25.35,26.98,79.52,36.3,49.75,116.51,48.37,40.55,45.52,95.75,106.67,93.15,105.88,21.08,30.45,18.55,24.4,30.32,22.82,26.01,25.16,28.53,23.29,21.62,21.99,25.4,45.1,83.44,36.8,50.42,68.38,72.64,53.42,46.14,75.48,49.81,99.08,66.12
2026-07-23,97.34,28.82,72.25,47.71,21.36,56.47,94.99,103.17,94.53,25.15,26.86,79.23,36.17,49.72,115.9,48.12,40.35,45.42,95.4,106.26,92.88,105.26,20.97,30.14,18.39,24.34,30.21,22.76,25.95,25.1,28.44,23.2,21.51,21.94,25.31,44.84,83.17,36.66,50.27,68.33,72.26,53.25,46.07,75.25,49.51,98.44,65.72
2026-07-24,97.46,28.82,72.31,47.8,21.4,56.52,95.02,101.48,94.64,25.21,26.87,79.23,36.17,49.75,113.75,48.09,40.44,45.45,95.39,106.23,93.11,105.55,20.97,30.16,18.36,24.86,30.27,22.79,25.92,25.13,28.45,23.18,21.49,21.97,25.36,44.89,83.25,36.66,50.3,69.82,72.22,53.34,46.19,75.27,49.61,98.59,65.85
2026-07-27,97.69,28.89,72.46,47.92,21.44,56.67,95.2,101.34,94.96,25.29,26.89,79.27,36.18,49.83,113.44,48.3,40.55,45.56,95.46,106.51,93.37,105.8,21.07,30.28,18.45,24.76,30.43,22.83,25.94,25.17,28.51,23.21,21.57,22.03,25.49,45.02,83.75,36.69,50.39,69.48,72.48,53.62,46.28,75.42,49.69,98.77,66.02
2026-07-28,97.92,28.92,72.64,47.99,21.47,56.74,95.48,100.31,95.19,25.36,26.95,79.42,36.25,49.93,111.86,48.49,40.66,45.65,95.61,106.83,93.67,106.0,21.1,30.36,18.49,24.82,30.59,22.89,25.96,25.25,28.58,23.24,21.67,22.1,25.63,45.09,84.24,36.74,50.51,69.56,72.82,53.91,46.37,75.6,49.77,98.87,66.13
2026-07-29,97.55,28.84,72.38,47.81,21.5,56.59,95.1,98.39,94.56,25.31,26.86,79.24,36.18,49.77,109.68,47.95,40.68,45.51,95.39,106.22,93.23,105.77,20.88,30.1,18.34,24.76,30.16,22.82,25.91,25.16,28.44,23.19,21.42,22.01,25.26,45.0,82.85,36.67,50.3,69.17,72.01,53.13,46.19,75.31,49.7,98.86,65.74
2026-07-30,97.62,28.93,72.42,47.88,21.77,56.56,95.27,101.49,94.79,25.51,26.95,79.47,36.29,49.83,113.38,48.08,41.15,45.55,95.66,106.41,93.29,105.76,20.93,30.44,18.52,24.4,30.13,22.83,25.99,25.16,28.5,23.26,21.49,22.02,25.25,45.0,82.8,36.79,50.37,68.26,72.23,53.1,46.25,75.4,49.65,98.72,65.87
2026-07-31,97.37,28.92,72.23,47.77,21.72,56.53,95.08,101.85,94.66,25.47,26.92,79.48,36.29,49.75,113.23,47.94,41.01,45.45,95.68,106.25,92.92,105.64,20.92,30.47,18.52,24.28,29.94,22.76,26.01,25.11,28.44,23.27,21.41,21.92,25.08,44.9,82.25,36.78,50.32,67.89,71.99,52.77,46.06,75.25,49.6,98.66,65.84
2026-08-03,97.25,28.84,72.15,47.83,21.83,56.42,94.88,102.8,94.78,25.39,26.84,79.29,36.16,49.92,114.4,47.99,41.22,45.36,95.41,106.15,92.81,105.48,21.06,30.46,18.51,24.38,29.96,22.71,25.9,25.06,28.41,23.18,21.43,21.91,25.11,44.81,82.34,36.66,50.22,68.15,72.03,52.81,46.04,75.15,49.54,98.47,65.81
